left_out_year,train_rmse,test_rmse,method
1,23.460090504382546,20.737134653190974,energy_star_rating_by_year_non_weather_onehot_xgb
2,23.640485189415603,21.862123323921665,energy_star_rating_by_year_non_weather_onehot_xgb
3,23.629258118929073,21.128464512552487,energy_star_rating_by_year_non_weather_onehot_xgb
4,23.01977870208137,25.711910747904877,energy_star_rating_by_year_non_weather_onehot_xgb
5,23.246788405665708,25.000339346528115,energy_star_rating_by_year_non_weather_onehot_xgb
6,22.721696758097387,25.58521260635386,energy_star_rating_by_year_non_weather_onehot_xgb
7,23.455790150872673,23.19181796399055,energy_star_rating_by_year_non_weather_onehot_xgb
