left_out_year,train_rmse,test_rmse,method
1,23.424668721499625,21.95163122023984,energy_star_rating_by_year_log_temp_pca_onehot_xgb
2,23.378540089594374,22.164327059099506,energy_star_rating_by_year_log_temp_pca_onehot_xgb
3,23.40172225064324,22.141848976118293,energy_star_rating_by_year_log_temp_pca_onehot_xgb
4,23.020127340164972,26.511614458232373,energy_star_rating_by_year_log_temp_pca_onehot_xgb
5,22.97854165404606,25.72408468560916,energy_star_rating_by_year_log_temp_pca_onehot_xgb
6,22.587847152699183,26.41764088482023,energy_star_rating_by_year_log_temp_pca_onehot_xgb
7,23.449968944449285,24.06142316639166,energy_star_rating_by_year_log_temp_pca_onehot_xgb
